Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
339,Sandro Mamukelashvili,PF,22,MIL,34,2,9.3,1.1,2.5,0.459,0.4,1.1,0.385,0.7,1.4,0.522,0.547,0.3,0.4,0.75,0.8,0.9,1.8,0.5,0.2,0.2,0.3,0.6,3
340,Terance Mann,SF,25,LAC,65,29,29,4.1,8.5,0.486,1,2.6,0.371,3.2,5.9,0.536,0.542,1.4,1.8,0.761,1.3,4.1,5.4,2.5,0.8,0.2,1,2.2,10.6
341,Tre Mann,PG,20,OKC,51,18,21.3,3.4,8.9,0.383,1.4,4,0.345,2,4.9,0.414,0.46,1,1.3,0.758,0.3,2.2,2.5,1.3,0.8,0.2,1,1.7,9.2
342,Boban Marjanovi?,C,33,DAL,17,0,5.8,2.1,3.4,0.632,0.1,0.2,0.333,2.1,3.2,0.648,0.64,0.5,0.9,0.5,0.4,1.4,1.8,0.1,0,0.1,0.6,1.2,4.8
343,Lauri Markkanen,PF,24,CLE,44,44,30.3,4.9,11.5,0.426,2.1,6,0.342,2.8,5.5,0.519,0.516,2,2.3,0.854,1,4.5,5.5,1.4,0.7,0.5,0.9,1.8,13.9
344,Naji Marshall,SF,24,NOP,37,0,10.2,1.5,3.8,0.401,0.3,1.6,0.2,1.2,2.2,0.549,0.444,0.9,1.2,0.778,0.6,1.6,2.2,0.8,0.5,0.1,0.7,1,4.4
345,Caleb Martin,SF,26,MIA,50,10,23.1,3.7,7.1,0.521,1,2.7,0.391,2.6,4.4,0.6,0.595,1.2,1.6,0.756,1.3,2.7,4,1.1,1,0.5,0.8,1.7,9.6
346,Cody Martin,SF,26,CHO,54,11,27.1,3,6.4,0.465,1,2.4,0.406,2,4,0.5,0.541,1.2,1.7,0.692,1.2,2.9,4.1,2.5,1.3,0.5,0.9,1.8,8.1
347,Kelan Martin,SF,26,TOT,28,1,16,2.5,6.1,0.412,0.8,2.6,0.297,1.7,3.4,0.5,0.476,0.3,0.5,0.692,0.6,1.4,1.9,0.8,0.5,0.3,0.5,1.3,6.1
347,Kelan Martin,SF,26,IND,27,1,16.4,2.6,6.2,0.417,0.8,2.7,0.297,1.8,3.5,0.511,0.482,0.3,0.5,0.692,0.6,1.4,2,0.8,0.5,0.3,0.5,1.3,6.3
347,Kelan Martin,SF,26,BOS,1,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
348,Kenyon Martin Jr.,SF,21,HOU,61,0,20,3.5,6.6,0.527,0.7,2,0.355,2.8,4.6,0.601,0.581,1,1.5,0.638,1.1,2.7,3.8,1.3,0.4,0.4,0.7,1.2,8.6
349,Garrison Mathews,SG,25,HOU,47,20,27.5,3.2,7.8,0.414,2.4,6.4,0.371,0.9,1.4,0.615,0.567,2.5,3.1,0.808,0.5,2.7,3.3,1,0.8,0.3,0.7,2.9,11.4
350,Dakota Mathias,SG,26,MEM,6,0,2.7,0.3,1,0.333,0.3,1,0.333,0,0,0,0.5,0,0,0,0,0.3,0.3,0.2,0.2,0,0,0.2,1
351,Wesley Matthews,SG,35,MIL,34,6,19.7,1.7,4.5,0.383,1.1,3.3,0.324,0.7,1.3,0.535,0.5,0.4,0.5,0.75,0.5,1.4,1.9,0.7,0.4,0.1,0.4,1.9,4.9
352,Tyrese Maxey,PG,21,PHI,56,55,35.6,6.5,13.5,0.483,1.6,3.7,0.423,4.9,9.8,0.505,0.541,3,3.5,0.862,0.4,3.2,3.6,4.5,0.8,0.5,1.2,2.1,17.6
353,Skylar Mays,SG,24,ATL,24,5,8.8,1.3,2.6,0.516,0.3,1,0.32,1,1.5,0.649,0.581,0.3,0.4,0.889,0.2,0.8,1,0.7,0.3,0,0.4,0.3,3.3
354,Miles McBride,PG,21,NYK,25,2,7.2,0.7,2.5,0.27,0.3,1.4,0.194,0.4,1.1,0.37,0.325,0.1,0.2,0.75,0.1,0.6,0.7,1,0.3,0,0.1,0.8,1.8
355,Mac McClung,PG,23,CHI,1,0,3,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
356,CJ McCollum,SG,30,TOT,46,46,35.3,8.5,18.7,0.455,3,7.8,0.388,5.5,10.8,0.503,0.536,1.7,2.3,0.722,1,3.5,4.6,4.9,1.1,0.5,1.9,2.1,21.7
356,CJ McCollum,SG,30,POR,36,36,35.2,8.1,18.5,0.436,3.1,8,0.384,5,10.4,0.476,0.52,1.3,1.9,0.706,0.9,3.3,4.3,4.5,1,0.6,1.9,2.1,20.5
356,CJ McCollum,SG,30,NOP,10,10,35.8,10.1,19.5,0.518,2.9,7.2,0.403,7.2,12.3,0.585,0.592,3,4,0.75,1.3,4.4,5.7,6.1,1.3,0,1.9,1.9,26.1
357,T.J. McConnell,PG,29,IND,24,6,24.2,3.8,7.5,0.503,0.3,1,0.28,3.5,6.5,0.538,0.522,0.5,0.6,0.8,0.8,2.5,3.3,4.8,1,0.4,1.2,1.8,8.4
